tweet_id,timestamp,rating,retweet_count,favorite_count,breed,confidence,name,dogstage,source,text
890240255349198849,2017-07-26 15:59:51+00:00,14,6107,27988,Pembroke,51.13,Cassie,doggo,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A
884162670584377345,2017-07-09 21:29:42+00:00,12,2509,17960,German_shepherd,70.7,Yogi,doggo,Twitter for iPhone,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ
872967104147763200,2017-06-09 00:02:31+00:00,12,4569,24107,Labrador_retriever,47.69,None,doggo,Twitter for iPhone,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo https://t.co/EMYIdoblMR
871515927908634625,2017-06-04 23:56:03+00:00,12,2946,17914,komondor,97.48,Napolean,doggo,Twitter for iPhone,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo https://t.co/PR7B7w1rUw
869596645499047938,2017-05-30 16:49:31+00:00,12,2642,14230,Chihuahua,95.52,Scout,doggo,Twitter for iPhone,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for https://t.co/DsA2hwXAJo
858843525470990336,2017-05-01 00:40:27+00:00,13,3032,14146,golden_retriever,57.81,None,doggo,Twitter for iPhone,I have stumbled puppon a doggo painting party. They're looking to be the next Pupcasso or Puppollock. All 13/10 would put it on the fridge https://t.co/cUeDMlHJbq
855851453814013952,2017-04-22 18:31:02+00:00,13,16156,41944,flat-coated_retriever,32.17,None,doggo,Twitter for iPhone,Here's a puppo participating in the #ScienceMarch. Cleverly disguising her own doggo agenda. 13/10 would keep the planet habitable for https://t.co/cMhq16isel
855851453814013952,2017-04-22 18:31:02+00:00,13,16156,41944,flat-coated_retriever,32.17,None,puppo,Twitter for iPhone,Here's a puppo participating in the #ScienceMarch. Cleverly disguising her own doggo agenda. 13/10 would keep the planet habitable for https://t.co/cMhq16isel
854010172552949760,2017-04-17 16:34:26+00:00,11,2801,14862,English_springer,35.47,None,doggo,Twitter for iPhone,"At first I thought this was a shy doggo, but it's actually a Rare Canadian Floofer Owl. Amateurs would confuse the two. 11/10 only send dogs https://t.co/TXdT3tmuYk"
854010172552949760,2017-04-17 16:34:26+00:00,11,2801,14862,English_springer,35.47,None,floofer,Twitter for iPhone,"At first I thought this was a shy doggo, but it's actually a Rare Canadian Floofer Owl. Amateurs would confuse the two. 11/10 only send dogs https://t.co/TXdT3tmuYk"
846514051647705089,2017-03-28 00:07:32+00:00,13,10416,41298,golden_retriever,65.0,Barney,doggo,Twitter for iPhone,This is Barney. He's an elder doggo. Hitches a ride when he gets tired. Waves goodbye before he leaves. 13/10 please come back soon https://t.co/cFAasDXauK
845397057150107648,2017-03-24 22:08:59+00:00,13,1624,7094,Dandie_Dinmont,39.44,Mimosa,doggo,Twitter for iPhone,"Say hello to Mimosa. She's an emotional support doggo who helps her owner with PTSD. 13/10, but she needs your help

https://t.co/L6mLzrd7Mx https://t.co/jMutBFdw5o"
836753516572119041,2017-03-01 01:42:39+00:00,12,4276,18171,None,0.0,Meera,doggo,Twitter for iPhone,This is Meera. She just heard about taxes and how much a doghouse in a nice area costs. Not pupared to be a  doggo anymore. 12/10 https://t.co/GZmNEdyoJY
834574053763584002,2017-02-23 01:22:14+00:00,13,2321,12841,None,0.0,None,doggo,Twitter for iPhone,Here's a doggo fully pupared for a shower. H*ckin exquisite balance. Sneaky tongue slip too. 13/10 https://t.co/UtEVnQ1ZPg
832998151111966721,2017-02-18 17:00:10+00:00,13,2026,12466,boxer,53.9,Rhino,doggo,Twitter for iPhone,"This is Rhino. He arrived at a shelter with an elaborate doggo manual for his new family, written by someone who will always love him. 13/10 https://t.co/QX1h0oqMz0"
832273440279240704,2017-02-16 17:00:25+00:00,14,2151,10672,Pembroke,13.41,Smiley,doggo,Twitter for iPhone,Say hello to Smiley. He's a blind therapy doggo having a h*ckin blast high steppin around in the snow. 14/10 would follow anywhere https://t.co/SHAb1wHjMz
832032802820481025,2017-02-16 01:04:13+00:00,12,4313,16805,whippet,60.17,Miguel,doggo,Twitter for iPhone,"This is Miguel. He was the only remaining doggo at the adoption center after the weekend. Let's change that. 12/10

https://t.co/P0bO8mCQwN https://t.co/SU4K34NT4M"
831939777352105988,2017-02-15 18:54:34+00:00,12,5673,22512,Pomeranian,15.39,Emanuel,doggo,Twitter for iPhone,This is Emanuel. He's a h*ckin rare doggo. Dwells in a semi-urban environment. Round features make him extra collectible. 12/10 would so pet https://t.co/k9bzgyVdUT
831322785565769729,2017-02-14 02:02:51+00:00,12,1447,8771,Old_English_sheepdog,99.97,Pete,doggo,Twitter for iPhone,This is Pete. He has no eyes. Needs a guide doggo. Also appears to be considerably fluffy af. 12/10 would hug softly https://t.co/Xc0gyovCtK
829449946868879360,2017-02-08 22:00:52+00:00,11,1865,9899,Labrador_retriever,31.52,None,doggo,Twitter for iPhone,Here's a stressed doggo. Had a long day. Many things on her mind. The hat communicates these feelings exquisitely. 11/10 https://t.co/fmRS43mWQB
